term,estimate,std.error,statistic,df,p.value,2.5 %,97.5 %
(Intercept),3.9680280531390895,0.7005177190380396,5.664422105679267,21.668489252867126,1.1333933433554932e-5,2.5139534656686466,5.422102640609532
log_s,0.38537632339204764,0.1161206385530653,3.3187582172650276,17.199547403662624,0.004010911240546644,0.1405995346123117,0.6301531121717836
log_ngd,-1.7638456019244346,0.19685031760921978,-8.960339121351879,24.674599638865082,3.142277549272876e-9,-2.169537692996607,-1.3581535108522627
