term,estimate,std_error,statistic,p_value
(Intercept),4.4252423573322615,0.3625568967071028,12.205649368483154,6.494413048691336e-34
log_s,0.4381489988227193,0.01218410213188654,35.96071290932933,1.1986351729973559e-259
log_ngd,-1.6771481036404339,0.13040181029019296,-12.861386662563579,2.0001110018513136e-37
